Дата         | Страна               | Курс доллара
01.03.2006   | Angola               | 28.254
01.03.2006   | Congo                | 28.254
01.03.2006   | Equatorial Guinea    | 28.254
01.03.2006   | Gabon                | 28.254
01.03.2006   | IR Iran              | 28.254
01.03.2006   | Iraq                 | 28.254
01.03.2006   | Kuwait               | 28.254
01.03.2006   | Libya                | 28.254
01.03.2006   | Nigeria              | 28.254
01.03.2006   | United Arab Emirates | 28.254
01.03.2006   | Venezuela            | 28.254
01.03.2007   | Algeria              | 26.108
01.03.2007   | Angola               | 26.108
01.03.2007   | Congo                | 26.108
01.03.2007   | Equatorial Guinea    | 26.108
01.03.2007   | Gabon                | 26.108
01.03.2007   | IR Iran              | 26.108
01.03.2007   | Iraq                 | 26.108
01.03.2007   | Kuwait               | 26.108
01.03.2007   | Libya                | 26.108
01.03.2007   | Nigeria              | 26.108
01.03.2007   | United Arab Emirates | 26.108
01.03.2007   | Venezuela            | 26.108
01.03.2010   | Algeria              | 29.976
01.03.2010   | Angola               | 29.976
01.03.2010   | Congo                | 29.976
01.03.2010   | Equatorial Guinea    | 29.976
01.03.2010   | Gabon                | 29.976
01.03.2010   | IR Iran              | 29.976
01.03.2010   | Iraq                 | 29.976
01.03.2010   | Kuwait               | 29.976
01.03.2010   | Libya                | 29.976
01.03.2010   | Nigeria              | 29.976
01.03.2010   | United Arab Emirates | 29.976
01.03.2010   | Venezuela            | 29.976
01.03.2011   | Algeria              | 29.157
01.03.2011   | Angola               | 29.157
01.03.2011   | Congo                | 29.157
01.03.2011   | Equatorial Guinea    | 29.157
01.03.2011   | Gabon                | 29.157
01.03.2011   | IR Iran              | 29.157
01.03.2011   | Iraq                 | 29.157
01.03.2011   | Kuwait               | 29.157
01.03.2011   | Libya                | 29.157
01.03.2011   | Nigeria              | 29.157
01.03.2011   | United Arab Emirates | 29.157
01.03.2011   | Venezuela            | 29.157
01.03.2012   | Algeria              | 32.66
01.03.2012   | Angola               | 32.66
01.03.2012   | Congo                | 32.66
01.03.2012   | Equatorial Guinea    | 32.66
01.03.2012   | Gabon                | 32.66
01.03.2012   | IR Iran              | 32.66
01.03.2012   | Iraq                 | 32.66
01.03.2012   | Kuwait               | 32.66
01.03.2012   | Libya                | 32.66
01.03.2012   | Nigeria              | 32.66
01.03.2012   | United Arab Emirates | 32.66
01.03.2012   | Venezuela            | 32.66
01.03.2013   | Algeria              | 30.175
01.03.2013   | Angola               | 30.175
01.03.2013   | Congo                | 30.175
01.03.2013   | Equatorial Guinea    | 30.175
01.03.2013   | Gabon                | 30.175
01.03.2013   | IR Iran              | 30.175
01.03.2013   | Iraq                 | 30.175
01.03.2013   | Kuwait               | 30.175
01.03.2013   | Libya                | 30.175
01.03.2013   | Nigeria              | 30.175
01.03.2013   | United Arab Emirates | 30.175
01.03.2013   | Venezuela            | 30.175
01.03.2016   | Algeria              | 76.0647
01.03.2016   | Angola               | 76.0647
01.03.2016   | Congo                | 76.0647
01.03.2016   | Equatorial Guinea    | 76.0647
01.03.2016   | Gabon                | 76.0647
01.03.2016   | IR Iran              | 76.0647
01.03.2016   | Iraq                 | 76.0647
01.03.2016   | Kuwait               | 76.0647
