28,155
28,048
27,251
27,094
26,765
26,737
26,713
26,186
28,426
28,277
28,345
28,26
28,245
28,255
28,005
27,995
27,949
27,981
28,0
28,146
28,121
28,14
28,025
27,171
26,763
26,772
26,734
26,702
28,185
28,214
28,229
28,224
28,193
28,159
28,194
28,225
28,194
28,194
28,128
28,029
28,741
28,254
27,929
27,734
27,176
26,857
26,765
26,768
26,766
28,035
27,958
27,827
27,736
27,663
27,657
27,752
27,735
27,831
27,85
27,787
27,705
27,776
27,696
27,709
28,741
27,571
27,12
26,84
26,675
26,706
26,793
26,178
27,716
27,707
27,53
27,524
27,45
27,48
27,484
27,444
27,404
27,397
27,391
27,251
28,67
27,541
27,079
26,714
26,924
26,679
26,806
26,186
27,027
27,002
26,951
27,038
27,056
27,064
26,986
27,011
27,039
27,053
27,055
26,944
26,987
28,67
28,25
27,924
27,591
26,826
26,874
26,702
26,897
26,749
26,206
27,114
27,041
27,039
27,009
27,059
27,034
26,966
27,054
27,108
27,035
27,049
27,087
27,107
26,862
28,265
28,065
27,667
26,849
26,827
26,727
26,72
26,666
26,227
26,94
26,974
27,011
27,055
26,95
26,92
26,87
26,934
26,981
26,938
26,804
26,812
26,802
28,274
28,065
27,112
26,991
26,723
26,806
26,705
26,27
26,831
26,775
26,733
26,761
26,739
26,68
26,776
26,779
26,795
26,801
26,772
26,789
26,739
26,771
28,67
28,259
28,045
27,064
27,046
26,686
26,887
26,641
26,795
26,761
26,803
26,791
26,797
26,76
26,695
26,667
26,725
26,79
26,764
26,768
26,783
28,507
28,25
28,04
27,705
27,019
26,914
26,773
26,952
26,624
26,977
26,963
26,93
26,955
26,856
26,864
26,927
26,893
26,886
26,772
26,74
26,749
26,701
28,417
27,689
26,969
26,874
26,824
26,8
26,952
26,241
26,666
26,66
26,659
26,68
26,651
26,665
26,657
26,569
26,545
26,407
26,373
26,335
26,341
26,251
28,503
27,7
26,926
27,046
26,929
26,811
26,944
26,258
26,288
26,334
26,407
26,412
26,297
26,323
26,325
26,337
26,357
26,397
26,373
26,355
26,325
26,31
26,491
26,178
25,738
25,9
25,599
24,866
24,675
26,574
26,568
26,554
26,53
26,518
26,538
26,489
26,526
26,498
26,569
26,542
26,533
26,494
26,31
26,523
26,155
25,978
25,735
25,652
25,573
24,948
24,615
26,349
26,246
26,235
26,226
26,203
26,22
26,217
26,221
26,179
26,185
26,108
26,12
26,31
26,018
25,774
25,684
25,479
25,607
24,986
24,474
26,144
26,126
26,122
26,034
26,037
26,026
26,043
26,019
26,055
26,005
25,998
26,008
26,006
25,966
26,385
25,978
